generic_name,drug_category
DOBUTAMINE HCL IN DEXTROSE 5 %,Other/Supportive Care
DOCETAXEL,Oncology
DOFETILIDE,Other/Supportive Care
DOLASETRON MESYLATE,Other/Supportive Care
DOLUTEGRAVIR SODIUM,Other/Supportive Care
DOLUTEGRAVIR/RILPIVIRINE,Other/Supportive Care
DONEPEZIL HCL,Other/Supportive Care
DOPAMINE HCL,Other/Supportive Care
DORIPENEM,Other/Supportive Care
DORNASE ALFA,Other/Supportive Care
DORZOLAMIDE HCL,Other/Supportive Care
DORZOLAMIDE HCL/TIMOLOL MALEAT,Other/Supportive Care
DORZOLAMIDE/TIMOLOL/PF,Other/Supportive Care
DOXAZOSIN MESYLATE,Other/Supportive Care
DOXEPIN HCL,Other/Supportive Care
DOXERCALCIFEROL,Other/Supportive Care
DOXORUBICIN HCL,Other/Supportive Care
DOXORUBICIN HCL PEG-LIPOSOMAL,Other/Supportive Care
DOXYCYCLINE CALCIUM,Antibiotics/Antiinfectives
DOXYCYCLINE HYCLATE,Antibiotics/Antiinfectives
DOXYCYCLINE MONOHYDRATE,Antibiotics/Antiinfectives
DRONABINOL,Other/Supportive Care
DRONEDARONE HCL,Other/Supportive Care
DROSPIR/ETH ESTRA/LEVOMEFOL CA,Other/Supportive Care
DROSPIRENONE/ESTRADIOL,Other/Supportive Care
DROXIDOPA,Other/Supportive Care
DULAGLUTIDE,Other/Supportive Care
DULOXETINE HCL,Neurological/Neuropsychiatric
DUPILUMAB,Other/Supportive Care
DURVALUMAB,Other/Supportive Care
DUTASTERIDE,Other/Supportive Care
DUTASTERIDE/TAMSULOSIN HCL,Other/Supportive Care
ECALLANTIDE,Other/Supportive Care
ECHOTHIOPHATE IODIDE,Other/Supportive Care
ECONAZOLE NITRATE,Other/Supportive Care
ECULIZUMAB,Other/Supportive Care
EDARAVONE,Other/Supportive Care
EDOXABAN TOSYLATE,Other/Supportive Care
EFAVIRENZ,Other/Supportive Care
EFAVIRENZ/EMTRICIT/TENOFOVR DF,Other/Supportive Care
EFINACONAZOLE,Other/Supportive Care
ELBASVIR/GRAZOPREVIR,Other/Supportive Care
ELECTROLYTE-A SOLUTION,Other/Supportive Care
ELECTROLYTE-R (PH 7.4),Other/Supportive Care
ELETRIPTAN HBR,Other/Supportive Care
ELIGLUSTAT TARTRATE,Other/Supportive Care
ELOSULFASE ALFA,Other/Supportive Care
ELOTUZUMAB,Other/Supportive Care
ELTROMBOPAG OLAMINE,Other/Supportive Care
ELUXADOLINE,Other/Supportive Care
ELVITEG/COB/EMTRI/TENOF ALAFEN,Other/Supportive Care
ELVITEG/COB/EMTRI/TENOFO DISOP,Other/Supportive Care
ELVITEGRAVIR,Other/Supportive Care
EMEDASTINE DIFUMARATE,Other/Supportive Care
EMPAGLIFLOZIN,Other/Supportive Care
EMPAGLIFLOZIN/LINAGLIPTIN,Endocrine/Metabolic
